,n_tense_past,n_tense_pres,sentiment_pos,sentiment_neg,sentiment_single,processed_tweet_length,result
526,2,0,1,-4,-3,13,0
527,0,0,3,-1,2,1,0
528,1,1,1,-2,-1,4,0
529,1,1,2,-1,1,9,0
530,1,0,1,-1,0,3,0
531,1,2,1,-1,0,6,0
532,0,1,1,-1,0,4,1
533,0,3,1,-1,0,6,0
534,0,3,1,-1,0,7,0
535,0,1,1,-1,0,2,0
536,1,1,1,-1,0,9,0
537,1,2,2,-1,1,8,0
538,0,1,1,-1,0,2,0
539,0,2,1,-1,0,9,0
540,0,1,2,-3,-1,4,0
541,0,3,1,-1,0,2,0
542,1,1,1,-1,0,2,0
543,3,0,1,-3,-2,7,1
544,1,0,1,-1,0,3,0
545,1,0,3,-1,2,7,0
546,2,2,1,-1,0,9,0
547,0,0,2,-1,1,11,0
548,0,2,2,-1,1,4,0
549,0,0,1,-2,-1,1,0
550,0,0,1,-1,0,1,0
551,0,0,1,-1,0,1,0
552,0,1,1,-1,0,0,0
553,0,1,1,-1,0,7,1
554,1,4,1,-1,0,5,0
555,0,0,1,-1,0,3,0
556,1,4,1,-1,0,10,1
557,4,0,2,-1,1,5,0
558,0,0,2,-1,1,3,1
559,2,1,2,-1,1,12,0
560,0,1,1,-1,0,4,0
561,0,1,1,-1,0,1,0
562,0,1,1,-1,0,1,0
563,0,0,1,-1,0,3,0
564,0,0,1,-1,0,2,0
565,0,3,1,-3,-2,7,1
566,3,3,1,-1,0,9,0
567,1,1,1,-1,0,7,0
568,0,1,1,-1,0,5,1
569,0,2,2,-1,1,2,0
570,0,3,3,-1,2,7,0
571,1,2,2,-1,1,9,1
572,1,1,1,-2,-1,4,1
573,0,1,2,-1,1,6,1
574,0,1,1,-1,0,4,0
575,0,0,2,-1,1,5,0
576,1,1,1,-2,-1,3,0
577,1,4,1,-1,0,13,1
578,0,0,1,-1,0,7,1
579,1,2,1,-1,0,9,1
580,0,2,1,-1,0,4,0
581,1,4,2,-1,1,8,0
582,0,1,1,-3,-2,1,0
583,1,1,1,-2,-1,3,0
584,1,2,1,-1,0,7,0
585,0,0,1,-4,-3,12,1
586,2,2,1,-1,0,7,0
587,3,2,1,-1,0,10,1
588,0,2,2,-1,1,7,0
589,0,1,1,-1,0,1,0
590,0,1,3,-1,2,2,0
591,0,3,1,-1,0,11,0
592,1,0,1,-1,0,13,0
593,1,1,2,-1,1,5,1
594,0,2,2,-2,0,9,0
595,0,1,1,-1,0,2,0
596,0,1,4,-1,3,7,0
597,0,0,1,-2,-1,1,0
598,0,5,1,-3,-2,13,0
599,1,1,1,-1,0,4,0
600,0,1,1,-4,-3,10,0
601,1,3,2,-1,1,9,0
602,0,0,2,-1,1,1,0
603,1,3,1,-1,0,5,1
604,1,3,1,-1,0,6,0
605,0,1,2,-1,1,4,0
606,0,2,1,-1,0,1,0
607,1,3,2,-1,1,14,0
608,1,1,3,-1,2,6,0
609,0,2,2,-1,1,8,1
610,0,4,3,-1,2,13,0
611,0,2,3,-1,2,5,0
612,0,0,1,-1,0,2,0
613,0,0,3,-1,2,2,0
614,0,1,1,-1,0,8,1
615,2,0,1,-1,0,6,0
616,1,2,1,-1,0,6,1
617,0,0,1,-1,0,3,0
618,1,0,2,-1,1,3,0
619,0,3,1,-1,0,10,0
620,0,0,1,-1,0,1,0
621,1,4,3,-3,0,11,0
622,2,0,1,-1,0,10,0
623,3,2,1,-1,0,10,0
624,2,1,1,-1,0,6,0
625,0,1,1,-1,0,3,0
626,0,1,3,-1,2,10,0
627,0,1,1,-1,0,5,0
628,1,2,2,-2,0,11,0
629,0,1,4,-1,3,4,0
630,0,0,2,-1,1,2,0
631,0,3,2,-1,1,4,0
632,0,0,2,-1,1,11,1
633,0,3,2,-1,1,8,1
634,0,0,2,-1,1,16,0
635,0,2,4,-1,3,13,1
636,0,0,1,-3,-2,3,0
637,0,1,1,-1,0,7,0
638,1,0,1,-1,0,9,1
639,0,1,2,-1,1,2,0
640,0,1,1,-1,0,2,0
641,3,0,2,-1,1,6,1
642,2,2,1,-1,0,11,0
643,1,2,1,-1,0,11,1
644,0,0,2,-2,0,7,0
645,1,2,2,-2,0,8,1
646,0,2,2,-1,1,12,1
647,2,1,2,-1,1,7,0
648,1,0,1,-1,0,8,0
649,0,1,2,-1,1,1,0
650,0,0,1,-1,0,1,0
651,2,2,1,-1,0,9,0
652,1,1,2,-1,1,3,1
653,0,2,1,-1,0,11,1
654,3,3,1,-3,-2,10,0
655,0,0,3,-1,2,7,0
656,1,5,1,-2,-1,11,1
657,0,2,2,-2,0,6,0
658,0,2,1,-1,0,5,1
659,0,0,2,-1,1,4,0
660,2,1,2,-1,1,4,0
661,0,5,3,-1,2,11,0
662,0,4,1,-3,-2,12,0
663,1,1,1,-1,0,2,0
664,0,4,2,-2,0,13,0
665,0,0,2,-1,1,3,0
666,0,2,1,-1,0,6,1
667,0,3,1,-1,0,7,0
668,0,5,2,-2,0,10,0
669,0,2,1,-4,-3,5,0
670,1,2,1,-1,0,10,0
671,0,1,2,-1,1,3,0
672,1,0,2,-2,0,8,1
673,2,1,1,-1,0,5,0
674,0,1,1,-1,0,4,0
675,0,5,2,-1,1,12,1
676,1,1,3,-1,2,2,0
677,2,3,3,-1,2,10,1
678,2,4,1,-4,-3,8,0
679,0,0,1,-1,0,0,0
680,2,0,1,-1,0,8,0
681,2,2,1,-2,-1,7,0
682,3,2,2,-1,1,10,0
683,1,3,2,-1,1,11,1
684,0,0,1,-1,0,0,0
685,1,4,1,-1,0,6,1
686,1,1,1,-1,0,3,0
687,0,5,1,-1,0,13,1
688,2,3,2,-2,0,10,1
689,0,1,2,-1,1,7,0
690,0,2,2,-1,1,4,0
691,0,0,1,-1,0,6,1
692,2,0,1,-1,0,7,1
693,2,3,1,-1,0,8,0
694,0,1,1,-1,0,4,1
695,0,1,1,-1,0,2,0
696,2,0,2,-1,1,7,1
697,0,2,1,-1,0,10,1
698,1,0,2,-1,1,10,0
699,4,1,1,-1,0,10,0
700,3,1,1,-3,-2,6,0
701,0,2,3,-1,2,11,0
702,0,1,3,-3,0,9,1
703,2,0,1,-1,0,8,0
704,1,0,1,-1,0,2,0
705,1,1,2,-1,1,6,1
706,0,2,1,-2,-1,11,1
707,0,3,1,-1,0,5,0
708,2,1,3,-1,2,3,0
709,2,3,1,-1,0,8,1
710,0,1,2,-1,1,6,0
711,0,0,1,-1,0,2,1
712,0,1,2,-1,1,5,1
713,2,1,1,-1,0,8,1
714,1,1,1,-1,0,10,0
715,0,1,2,-1,1,3,0
716,0,1,1,-1,0,2,0
717,0,3,1,-4,-3,10,0
718,1,1,2,-2,0,13,1
719,0,2,1,-1,0,3,1
720,1,2,2,-1,1,8,0
721,0,2,1,-1,0,3,0
722,0,3,3,-1,2,8,0
723,2,0,3,-1,2,9,1
724,1,1,2,-1,1,10,0
725,0,2,1,-4,-3,4,0
726,1,1,1,-1,0,6,0
727,0,2,2,-1,1,10,0
728,1,4,1,-1,0,11,0
729,4,1,2,-1,1,7,0
730,0,1,1,-1,0,3,0
731,0,3,1,-1,0,11,1
732,0,0,2,-3,-1,7,0
733,1,2,3,-1,2,8,0
734,0,0,1,-1,0,8,0
735,0,3,1,-2,-1,5,0
736,2,3,4,-1,3,8,0
737,1,1,1,-1,0,7,0
738,0,0,1,-1,0,2,0
739,0,2,1,-1,0,15,1
740,0,0,2,-1,1,14,0
741,1,1,2,-2,0,4,0
742,1,0,2,-1,1,7,0
743,2,1,2,-1,1,13,0
744,1,1,1,-2,-1,9,1
745,1,1,1,-3,-2,15,0
746,0,1,2,-1,1,2,1
747,0,2,1,-1,0,7,0
748,2,1,1,-1,0,8,0
749,0,0,1,-2,-1,5,0
750,0,1,2,-1,1,11,1
751,0,4,1,-1,0,9,0
752,0,1,1,-4,-3,2,0
753,0,0,1,-1,0,4,0
754,0,0,1,-1,0,16,0
755,3,0,1,-1,0,14,0
756,0,0,1,-3,-2,1,0
757,0,0,1,-1,0,1,0
758,4,3,1,-1,0,13,1
759,0,1,1,-1,0,1,0
760,0,0,2,-1,1,10,1
761,0,0,1,-1,0,5,0
