,n_tense_past,n_tense_pres,sentiment_pos,sentiment_neg,sentiment_single,processed_tweet_length,result
405,0,3,3,-1,2,11,0
406,0,1,2,-1,1,4,0
407,0,1,1,-1,0,5,0
408,2,1,1,-1,0,10,1
409,0,1,2,-1,1,2,1
410,1,0,1,-1,0,9,0
411,1,1,1,-1,0,3,1
412,0,4,1,-1,0,9,1
413,0,2,1,-3,-2,10,0
414,0,1,2,-1,1,5,1
415,0,5,2,-1,1,12,0
416,3,0,1,-3,-2,6,0
417,1,0,1,-1,0,7,1
418,0,2,1,-1,0,8,1
419,1,2,2,-1,1,7,1
420,0,3,2,-1,1,6,0
421,0,1,3,-1,2,7,1
422,2,1,1,-1,0,10,1
423,0,1,1,-1,0,3,1
424,0,1,1,-1,0,3,1
425,0,5,2,-4,-2,9,1
426,0,0,2,-1,1,1,0
427,2,4,1,-1,0,8,1
428,0,1,3,-1,2,3,1
429,0,1,2,-4,-2,10,0
430,0,1,1,-1,0,2,1
431,1,3,1,-2,-1,9,0
432,0,1,2,-1,1,1,1
433,0,1,1,-1,0,3,0
434,0,0,1,-1,0,1,1
435,0,3,3,-1,2,3,1
436,0,2,2,-1,1,10,1
437,0,3,2,-1,1,7,1
438,0,1,1,-1,0,5,1
439,0,1,1,-1,0,3,1
440,2,0,1,-1,0,5,0
441,0,1,1,-1,0,6,1
442,2,0,2,-1,1,8,1
443,0,2,2,-2,0,4,1
444,0,1,4,-1,3,2,1
445,0,1,1,-1,0,5,1
446,0,0,1,-1,0,6,1
447,0,2,1,-1,0,4,1
448,0,2,3,-1,2,8,1
449,1,0,3,-1,2,12,1
450,0,0,2,-1,1,3,1
451,1,1,2,-2,0,9,1
452,3,1,1,-1,0,6,1
453,2,1,1,-2,-1,7,1
454,3,3,2,-1,1,12,0
455,0,0,1,-1,0,9,1
456,0,2,1,-1,0,14,1
457,0,0,2,-1,1,9,1
458,0,1,1,-1,0,7,1
459,0,1,1,-1,0,6,1
460,1,0,3,-1,2,6,1
461,0,1,1,-1,0,6,0
462,0,1,1,-1,0,8,0
463,0,0,1,-1,0,2,1
464,1,1,1,-2,-1,7,1
465,0,2,1,-1,0,10,0
466,1,2,2,-2,0,11,0
467,0,0,2,-1,1,3,1
468,0,1,1,-1,0,5,1
469,0,0,1,-2,-1,6,0
470,0,0,2,-1,1,5,1
471,0,1,1,-3,-2,6,0
472,0,2,1,-2,-1,5,1
473,2,1,1,-1,0,8,1
474,0,2,2,-1,1,12,0
475,0,2,3,-1,2,2,1
476,1,3,1,-1,0,6,0
477,0,0,2,-1,1,6,1
478,1,3,2,-2,0,13,1
479,0,2,1,-2,-1,11,0
480,1,0,1,-1,0,4,0
481,0,0,1,-1,0,1,1
482,0,2,2,-1,1,7,0
